# index, _pos
0,"array([33.05954667, 20.66447218])"
1,"array([32.62450772, 20.17876025])"
2,"array([33.73459782, 20.82365206])"
3,"array([33.41437522, 20.10172837])"
4,"array([32.46187234, 20.96001171])"
5,"array([33.14928508, 21.35826008])"
6,"array([-1.43736674, 35.09473443])"
7,"array([-1.71046262, 34.18980439])"
8,"array([-2.74344561, 34.92392547])"
9,"array([-2.29141894, 34.39364399])"
10,"array([-2.14950579, 35.01684116])"
11,"array([ 0.24481976, -7.8427597 ])"
12,"array([-1.74748861, -7.96593344])"
13,"array([ 2.64758194, -5.34596667])"
14,"array([ 0.70117707, -6.87919439])"
15,"array([ -0.75536848, -10.20073117])"
16,"array([ 2.11997908, -8.68193523])"
17,"array([-0.24992501, -8.88695774])"
18,"array([34.48138243, 11.7658058 ])"
19,"array([35.29069546, 10.98097838])"
20,"array([35.34699078, 11.84036886])"
21,"array([34.43650825, 10.9032731 ])"
22,"array([ 13.26707557, -21.44214382])"
23,"array([ 14.23325063, -21.3300886 ])"
24,"array([ 13.07418834, -20.58943052])"
25,"array([ 14.38283127, -20.92180744])"
26,"array([ 13.55726529, -21.8340959 ])"
27,"array([ 13.82141926, -21.3552562 ])"
28,"array([ 13.91914581, -20.788045  ])"
29,"array([ 14.68066422, -21.90676607])"
30,"array([ 12.57146183, -20.21716051])"
31,"array([ 18.48667013, -19.98429397])"
32,"array([ 17.3883054 , -20.45526913])"
33,"array([ 18.46776123, -20.4723733 ])"
34,"array([ 16.90795083, -18.78110609])"
35,"array([ 17.68336173, -19.66358333])"
36,"array([ 17.25046625, -19.97134591])"
37,"array([ 17.53806877, -20.87825415])"
38,"array([ 17.81066164, -20.25067813])"
39,"array([ 17.97051658, -20.74501011])"
40,"array([ 18.19964249, -19.61117246])"
41,"array([-27.95694753, -15.78501416])"
42,"array([-28.20494237, -17.17559766])"
43,"array([-28.81964267, -16.07649138])"
44,"array([-28.87246075, -16.86923757])"
45,"array([-26.81149317, -14.60840854])"
46,"array([-28.27001221, -16.46866772])"
47,"array([-27.66324276, -16.67516045])"
48,"array([-28.92986041, -15.09431339])"
49,"array([-27.18292157,   7.09420763])"
50,"array([-27.30074113,   5.98533081])"
51,"array([-28.01232032,   6.20484577])"
52,"array([-26.82503579,   6.48108482])"
53,"array([-27.85452845,   6.93782201])"
54,"array([35.76054645, -9.81439063])"
55,"array([35.21233222, -8.97529809])"
56,"array([ -9.29984933, -20.44992229])"
57,"array([ -8.3587833 , -19.18167309])"
58,"array([-22.16244885, -18.00527078])"
59,"array([-22.03391415, -18.95771836])"
60,"array([-22.92169651, -18.6004789 ])"
61,"array([ 18.29341543, -18.67942485])"
62,"array([ 18.74909954, -17.45030573])"
63,"array([ 19.27746019, -18.04973723])"
64,"array([ 14.84796108, -19.32515817])"
65,"array([ 17.96429124, -18.05354387])"
66,"array([ 20.16454179, -19.22317918])"
67,"array([ 19.32674466, -18.73659264])"
68,"array([ 20.0400281 , -18.41920682])"
69,"array([13.02106078,  1.39855036])"
70,"array([12.18495308,  0.468495  ])"
71,"array([13.45626043,  1.16759049])"
72,"array([12.85879373,  0.57593842])"
73,"array([11.68476828,  0.96270137])"
74,"array([12.50991727,  0.45215527])"
75,"array([12.82316313,  2.12543092])"
76,"array([11.49747377,  1.22634017])"
77,"array([13.94943986,  1.4707417 ])"
78,"array([11.38704636,  0.89157925])"
79,"array([12.5772745 ,  1.16346357])"
80,"array([12.11740211,  0.81520451])"
81,"array([11.41323975,  1.77583585])"
82,"array([12.70962298,  1.71768115])"
83,"array([12.21470419,  2.07810527])"
84,"array([12.24436403,  1.10190176])"
85,"array([11.70702623,  1.97269293])"
86,"array([12.61160006,  0.80773162])"
87,"array([-13.5199403 ,  20.89378559])"
88,"array([-13.08751294,  20.42171096])"
89,"array([-14.31461588,  21.91890443])"
90,"array([-14.17296019,  21.18473136])"
91,"array([-13.97173628,  20.38674291])"
92,"array([-13.59427888,  21.52746043])"
93,"array([-13.08404636,  21.46225334])"
94,"array([-12.42743079,  21.00419618])"
95,"array([ 0.71202011, -4.93031307])"
96,"array([ 3.28749057, -5.03231785])"
97,"array([-20.79091482,  22.61113371])"
98,"array([-21.49638639,  23.03898904])"
99,"array([-21.07952698,  23.74907106])"
100,"array([-20.36708266,  23.31658156])"
101,"array([ 9.49712408, -7.01857505])"
102,"array([ 8.14220845, -6.08440043])"
103,"array([ 9.94832971, -8.26939563])"
104,"array([ 9.80709404, -6.20862917])"
105,"array([ 7.49855978, -5.82855168])"
106,"array([10.08996132, -8.8949348 ])"
107,"array([ 8.23987489, -5.64155235])"
108,"array([11.34054561, -8.14984308])"
109,"array([ 8.67253131, -7.32500085])"
110,"array([ 9.41137208, -6.00534717])"
111,"array([ 8.02013118, -5.57636624])"
112,"array([ 8.32537463, -6.4613752 ])"
113,"array([ 8.43870693, -6.12256307])"
114,"array([ 8.6460774 , -4.90853707])"
115,"array([ 8.09857147, -5.13969467])"
116,"array([ 9.39158894, -5.59109823])"
117,"array([ 7.93021268, -6.65914692])"
118,"array([10.65703191, -8.87085863])"
119,"array([10.34833896, -8.05371457])"
120,"array([10.53680376, -8.36176337])"
121,"array([ 8.5669277 , -5.26653201])"
122,"array([ 8.06899355, -6.55978507])"
123,"array([10.63763032, -7.70675231])"
124,"array([ 8.2459941 , -6.77306399])"
125,"array([11.17776545, -8.65095385])"
126,"array([ 17.58464241, -44.13356505])"
127,"array([ 17.9835269 , -44.97592148])"
128,"array([ 1.82110435, -3.4420768 ])"
129,"array([ 3.07935735, -3.85131259])"
130,"array([ 1.97907791, -3.04400335])"
131,"array([-0.12626455, -3.33757274])"
132,"array([ 2.80351435, -4.0709375 ])"
133,"array([ 1.53221387, -3.08444534])"
134,"array([ 1.71468452, -2.61863683])"
135,"array([ 1.19665425, -4.02470522])"
136,"array([ 2.33640655, -4.09521902])"
137,"array([ 1.41736107, -3.54792725])"
138,"array([ 2.51007021, -3.59527206])"
139,"array([ 3.13235254, -3.22614652])"
140,"array([ 1.06508032, -3.12312275])"
141,"array([ 1.68232888, -3.9429937 ])"
142,"array([ 1.28213832, -2.37258296])"
143,"array([ 0.94438319, -3.60332142])"
144,"array([ 36.48853747, -25.96479153])"
145,"array([ 36.57891567, -26.94866596])"
146,"array([ 37.34880158, -26.46599798])"
147,"array([32.84518958,  5.82230742])"
148,"array([33.77368936,  5.90580388])"
149,"array([-20.21696999, -21.20268409])"
150,"array([-19.36689111, -21.63473865])"
151,"array([2.74470755, 0.69300889])"
152,"array([ 3.12350462, -0.91907014])"
153,"array([3.17588465, 1.16202161])"
154,"array([4.67702703, 0.81152854])"
155,"array([-0.55502206, -0.88189107])"
156,"array([-0.4324271 , -2.05809597])"
157,"array([ 0.51217432, -0.95043002])"
158,"array([ 0.00667625, -0.51019914])"
159,"array([-0.54627992, -1.45342212])"
160,"array([-0.03677883, -1.1492125 ])"
161,"array([ 0.16051581, -1.63102903])"
162,"array([-2.4583242 ,  7.11946741])"
163,"array([-2.64300407,  8.02983828])"
164,"array([-0.45665771,  4.99030431])"
165,"array([-2.29612984,  6.11437905])"
166,"array([-1.75229851,  6.61824156])"
167,"array([-3.9435408 ,  8.96427919])"
168,"array([-2.48186977, -3.36256722])"
169,"array([ 7.66075733, -3.91907377])"
170,"array([ 8.17934447, -5.8398028 ])"
171,"array([ 6.70875316, -3.56869429])"
172,"array([ 8.69697764, -4.54321147])"
173,"array([ 9.08643482, -4.2685009 ])"
174,"array([ 8.41369157, -5.5289643 ])"
175,"array([ 7.68359093, -5.87870959])"
176,"array([ 9.00739111, -5.73009308])"
177,"array([10.21990476, -1.83396242])"
178,"array([ 10.95630274, -16.92645333])"
179,"array([ 10.65800324, -18.54006303])"
180,"array([ 12.04318329, -18.87823146])"
181,"array([  9.88306175, -17.72642208])"
182,"array([  9.20103267, -15.23156539])"
183,"array([ 12.86815157, -14.98214847])"
184,"array([ 11.16456396, -18.32887187])"
185,"array([  9.93419409, -16.69576722])"
186,"array([ 11.72084731, -17.70833748])"
187,"array([ 11.29725577, -20.56856569])"
188,"array([ 10.18495495, -20.28565837])"
189,"array([ 11.98651423, -18.25889294])"
190,"array([ 11.82708604, -21.31598374])"
191,"array([10.55707128, -6.5509697 ])"
192,"array([ 9.23450946, -5.79468854])"
193,"array([ 9.09165171, -6.01577328])"
194,"array([ 8.92904425, -5.24387165])"
195,"array([10.41739934, -5.20521076])"
196,"array([10.26836285, -6.82421557])"
197,"array([11.40756853, -6.65076064])"
198,"array([10.33638861, -6.31435529])"
199,"array([12.31770928, -8.40373857])"
200,"array([ 9.12236203, -5.48699222])"
201,"array([11.1854917 , -5.50699925])"
202,"array([11.74608336, -6.6258128 ])"
203,"array([11.13748624, -5.90235759])"
204,"array([11.02284687, -6.95153619])"
205,"array([11.01320965, -7.87518217])"
206,"array([11.26823578, -7.26817808])"
207,"array([10.8111432 , -5.50262477])"
208,"array([11.42907046, -5.9944488 ])"
209,"array([12.20037122, -6.8334783 ])"
210,"array([11.4801221 , -7.03343598])"
211,"array([10.66031615, -6.05483041])"
212,"array([11.63690323, -5.70471565])"
213,"array([11.37253463, -6.30556184])"
214,"array([11.63595036, -6.25172035])"
215,"array([10.87076529, -5.89052009])"
216,"array([10.35217139, -5.93166918])"
217,"array([11.830385  , -7.01576674])"
218,"array([ 9.28067421, -4.71930287])"
219,"array([11.99484462, -6.4035854 ])"
220,"array([11.05263594, -6.2183339 ])"
221,"array([10.6224839 , -6.89871709])"
222,"array([ 9.67172768, -7.28121473])"
223,"array([ 9.79007196, -5.91639762])"
224,"array([11.60245178, -7.66868836])"
225,"array([11.65073813, -5.26481333])"
226,"array([ 9.6373793 , -6.45947512])"
227,"array([ 9.03621934, -8.00065241])"
228,"array([11.13672703, -6.54341656])"
229,"array([10.9122959 , -6.68928796])"
230,"array([10.81283711, -5.13031465])"
231,"array([11.95361552, -5.95758428])"
232,"array([10.80523882, -6.35000686])"
233,"array([ -0.99307677, -36.07767409])"
234,"array([ -1.96226453, -36.35464895])"
235,"array([-1.69597707, 22.22641809])"
236,"array([-1.88565346, 23.18336669])"
237,"array([-2.60330252, 22.59556689])"
238,"array([-19.83751936, -36.48854426])"
239,"array([-20.68407629, -36.01712126])"
240,"array([-19.85916742, -35.522844  ])"
241,"array([ 36.40836572, -22.00466886])"
242,"array([ 37.15792969, -21.43120853])"
243,"array([ 37.27061824, -22.36249823])"
244,"array([11.37484961,  0.34922737])"
245,"array([11.21179369,  1.45214702])"
246,"array([ 1.16580506e+01, -1.08635191e-02])"
247,"array([12.08338575,  1.58895213])"
248,"array([11.63698404, -0.53574186])"
249,"array([10.69805179,  0.20742593])"
250,"array([10.77419134,  1.09648904])"
251,"array([10.81059694,  1.44571104])"
252,"array([11.02758251, -0.07770948])"
253,"array([10.8403004 , -0.51557227])"
254,"array([11.10790868, -3.41328186])"
255,"array([10.67648954,  2.10519847])"
256,"array([11.56353273,  2.42888733])"
257,"array([11.5575004 ,  1.45906143])"
258,"array([11.34777696, -0.16323488])"
259,"array([10.28279732,  0.62396297])"
260,"array([10.88697285,  1.75398155])"
261,"array([10.45295022,  1.43563843])"
262,"array([12.85333031, -0.47171371])"
263,"array([12.15796866, -0.06070927])"
264,"array([11.04375874,  0.28526154])"
265,"array([11.11402398,  1.16997189])"
266,"array([11.89309351,  1.27489951])"
267,"array([11.034956  ,  0.81435151])"
268,"array([ 7.18432021, -5.57540535])"
269,"array([ 6.93955733, -4.98139045])"
270,"array([ 7.49357555, -6.37205991])"
271,"array([ 6.72317947, -5.88012165])"
272,"array([ 8.33249633, -5.29989416])"
273,"array([ 7.37283201, -6.1422856 ])"
274,"array([ 8.1658755 , -4.91162603])"
275,"array([ 7.32098177, -5.37758818])"
276,"array([ 8.51872033, -6.55797262])"
277,"array([ 7.25910836, -5.83958408])"
278,"array([ 7.8005447 , -5.23003411])"
279,"array([ 7.61615252, -6.10116357])"
280,"array([ 8.07694772, -5.38535339])"
281,"array([ 6.19981669, -5.70649345])"
282,"array([ 6.63198667, -5.03537721])"
283,"array([ 7.98484078, -6.30530937])"
284,"array([ 6.53235296, -5.55776616])"
285,"array([ 7.15116157, -6.11246122])"
286,"array([ 7.0386408 , -4.62464621])"
287,"array([ 7.78677382, -6.17463263])"
288,"array([ 7.54751614, -5.15905456])"
289,"array([ 7.69306476, -5.61612737])"
290,"array([ 6.92718643, -5.62138446])"
291,"array([ 7.32289248, -4.88788987])"
292,"array([ 8.67958068, -5.97666715])"
293,"array([ 7.85534286, -5.03405392])"
294,"array([ 7.84492555, -5.41337814])"
295,"array([ 8.25052866, -6.2744105 ])"
296,"array([ 7.2087038 , -6.45838483])"
297,"array([ 7.89766736, -4.74213332])"
298,"array([ 7.21586504, -5.07544376])"
299,"array([ 6.26337094, -4.45201512])"
300,"array([ 7.45152374, -5.60292407])"
301,"array([ 6.84817898, -5.34270326])"
302,"array([ 7.94265372, -5.94450145])"
303,"array([ 7.58819345, -5.40169805])"
304,"array([ 7.90125975, -5.74988387])"
305,"array([ 7.6163677, -4.886019 ])"
306,"array([ 8.39642235, -5.85803369])"
307,"array([ 7.08178105, -5.26052858])"
308,"array([ 7.61954229, -6.62924467])"
309,"array([ 8.62556249, -5.75233241])"
310,"array([ 8.68681173, -5.51342038])"
311,"array([ 7.75536737, -6.46775104])"
312,"array([ 24.33162639, -40.12703976])"
313,"array([ 25.12886223, -39.94926594])"
314,"array([ 24.14029821, -39.32814291])"
315,"array([ 24.93671516, -39.1557042 ])"
316,"array([-13.00524909, -32.29982596])"
317,"array([-12.36376744, -33.03307825])"
318,"array([20.39971386, -0.06175325])"
319,"array([20.58102215,  0.2981126 ])"
320,"array([21.77660216, -0.14243052])"
321,"array([20.85606311,  0.07864706])"
322,"array([21.38178156, -0.36462682])"
323,"array([20.66529277, -0.32273855])"
324,"array([21.33754733,  0.4870241 ])"
325,"array([21.04691554, -0.21161206])"
326,"array([20.92139543,  0.4930101 ])"
327,"array([21.36250739,  0.91047119])"
328,"array([20.57137101,  0.71253152])"
329,"array([21.98910353,  0.19181241])"
330,"array([ 2.14787151e+01, -1.45188964e-02])"
331,"array([20.97523279,  0.87342113])"
332,"array([21.71870544, -0.54338925])"
333,"array([20.89969408, -0.55030475])"
334,"array([21.78254308,  0.65669545])"
335,"array([21.2288288 , -0.71249923])"
336,"array([21.65331634,  0.30183774])"
337,"array([19.58801282, -0.86795243])"
338,"array([21.18552149,  0.17202481])"
339,"array([20.85028621, -1.32886284])"
340,"array([20.10043395,  0.30559505])"
341,"array([-11.8244427 , -12.50520806])"
342,"array([-11.42493192, -12.70548331])"
343,"array([ -9.93560381, -12.52015775])"
344,"array([-12.85919145, -13.47062951])"
345,"array([-13.0926809 , -12.99829852])"
346,"array([-12.39565972, -13.68173505])"
347,"array([-12.33685101, -12.64226964])"
348,"array([-12.36915974, -13.2610144 ])"
349,"array([-11.94363865, -13.51248498])"
350,"array([-12.86891592, -12.55760386])"
351,"array([-12.58894114, -12.22846713])"
352,"array([-10.74777612, -12.69395778])"
353,"array([-11.4997013 , -13.19232267])"
354,"array([-12.64115442, -12.95400314])"
355,"array([-12.16240328, -12.17822285])"
356,"array([-12.00465969, -12.99531665])"
357,"array([35.77744193, 24.5226106 ])"
358,"array([35.00007941, 25.12665655])"
359,"array([  4.09849458, -21.15351634])"
360,"array([  3.54144076, -20.72761167])"
361,"array([  5.5544396 , -19.20654568])"
362,"array([  3.82517299, -21.80789489])"
363,"array([ 5.54475027, 27.83916014])"
364,"array([ 6.4884658 , 27.65007172])"
365,"array([-25.7485693 ,  -2.60625999])"
366,"array([-26.70882974,  -2.60721681])"
367,"array([-19.23457731,  18.72805177])"
368,"array([-18.25090077,  19.10799668])"
369,"array([-17.80282864,  13.78231777])"
370,"array([-18.82882163,  14.1485805 ])"
371,"array([-34.02826218,  -8.2846538 ])"
372,"array([-34.45003151,  -9.14256136])"
373,"array([  0.17593432, -13.59432427])"
374,"array([  0.95691136, -12.63827027])"
375,"array([  0.43092257, -12.53386371])"
376,"array([ 8.42953007, -3.50942829])"
377,"array([ 9.41055773, -3.8126159 ])"
378,"array([ 9.78066108, -4.51648419])"
379,"array([ 9.12233567, -6.30788967])"
380,"array([10.61632871, -2.42473439])"
381,"array([ 8.54946326, -6.32218362])"
382,"array([ 9.97377309, -4.88628923])"
383,"array([ 7.95005507, -4.32286025])"
384,"array([ 9.02547609, -3.77977158])"
385,"array([ 8.81497067, -6.17895886])"
386,"array([ 9.17366984, -5.22897667])"
387,"array([ 7.05980014, -5.85996536])"
388,"array([ 8.05921845, -3.77765185])"
389,"array([ 8.55503305, -7.01880837])"
390,"array([10.26929309, -5.55912974])"
391,"array([ 7.88012816, -6.90327517])"
392,"array([11.21400935,  2.83364974])"
393,"array([40.75902328, -0.64502666])"
394,"array([40.13103963,  0.05838987])"
395,"array([-8.23667722, 20.9233542 ])"
396,"array([-7.31288413, 21.23650348])"
397,"array([-7.3147882 , 21.95620988])"
398,"array([-7.78160094, 21.61698642])"
399,"array([-8.19067873, 22.04002744])"
400,"array([-8.51654197, 21.4404668 ])"
401,"array([-7.57951456, 20.70544044])"
402,"array([  7.29621784, -10.56809656])"
403,"array([  6.50086194, -12.33800499])"
404,"array([  6.78837397, -12.93760325])"
405,"array([ 8.05191527, -8.68097431])"
406,"array([ 7.42915017, -7.76860993])"
407,"array([  5.8239652 , -12.45205141])"
408,"array([16.97351329, -4.67729669])"
409,"array([15.93553215, -4.84351283])"
410,"array([16.69083702, -5.29225173])"
411,"array([17.93315895, -3.81822153])"
412,"array([16.4548872 , -3.76744171])"
413,"array([15.50512849, -5.21872321])"
414,"array([16.71119848, -4.44916106])"
415,"array([16.33204873, -4.73602388])"
416,"array([16.62082404, -4.8468299 ])"
417,"array([15.81698521, -5.45599667])"
418,"array([16.92280437, -5.04399904])"
419,"array([17.1828995 , -5.28424213])"
420,"array([16.27812087, -4.3859431 ])"
421,"array([15.45443134, -4.86739305])"
422,"array([16.57366663, -4.15692246])"
423,"array([15.74693644, -4.56207238])"
424,"array([16.91288347, -4.12691061])"
425,"array([15.404688  , -4.53281562])"
426,"array([16.34758628, -5.13549056])"
427,"array([17.14623068, -4.40447593])"
428,"array([17.30253147, -4.85040997])"
429,"array([15.7221866 , -4.26300903])"
430,"array([16.09692409, -3.98177071])"
431,"array([16.31697379, -5.5120795 ])"
432,"array([16.74559025, -5.65828657])"
433,"array([15.84530336, -5.14977662])"
434,"array([ 6.21752154, -5.24204023])"
435,"array([ 5.578046  , -3.95390689])"
436,"array([ 4.46227727, -3.2296584 ])"
437,"array([ 16.39482873, -29.87094435])"
438,"array([ 16.92131079, -28.96417189])"
439,"array([ 17.57794503, -29.1625962 ])"
440,"array([ 17.26725006, -30.05358183])"
441,"array([ 17.78341625, -29.53697468])"
442,"array([ 16.9188306 , -29.96207931])"
443,"array([ 16.76269107, -29.30333006])"
444,"array([ 17.51634947, -29.81956318])"
445,"array([ 17.67605529, -28.67008112])"
446,"array([ 16.68478486, -29.69850634])"
447,"array([ 16.67429603, -28.33600396])"
448,"array([ 16.71534881, -28.67912605])"
449,"array([ 17.37201009, -29.46255708])"
450,"array([ 17.14621149, -29.1845231 ])"
451,"array([ 17.42003855, -28.32924254])"
452,"array([ 16.38352156, -29.43654117])"
453,"array([ 16.18762063, -29.13139142])"
454,"array([ 17.36976397, -28.88083067])"
455,"array([ 16.55223707, -29.04848198])"
456,"array([ 16.3102376 , -28.71975384])"
457,"array([ 17.01388357, -28.34619393])"
458,"array([ 17.05190535, -29.55120351])"
459,"array([-16.8979531 ,  10.64658084])"
460,"array([-15.93952841,  10.9569631 ])"
461,"array([-16.21620862,   9.98702428])"
462,"array([ -3.42427666, -16.99044006])"
463,"array([ -2.87541402, -15.41650646])"
464,"array([24.46614988, 12.79394129])"
465,"array([23.68413417, 13.3170436 ])"
466,"array([-22.60403908,  18.41816868])"
467,"array([-21.8071475,  18.8773043])"
468,"array([ 10.9520272 , -21.58891466])"
469,"array([ 12.66061828, -17.46144258])"
470,"array([ 14.37367944, -18.35205157])"
471,"array([ 10.83540358, -20.67440722])"
472,"array([ 12.84958241, -17.92585159])"
473,"array([ 11.21285805, -21.95285178])"
474,"array([ 12.90067127, -16.66735168])"
475,"array([ 13.41002029, -17.98111781])"
476,"array([  1.99214511, -42.80943555])"
477,"array([  1.42357957, -41.91130877])"
478,"array([  2.355916  , -41.80588179])"
479,"array([  1.64124195, -43.8009212 ])"
480,"array([  2.54353505, -43.69626651])"
481,"array([-0.22203065, -7.12963423])"
482,"array([ 0.89716853, -9.37310251])"
483,"array([-2.43086247, -6.76977079])"
484,"array([-0.85719441, -8.9466374 ])"
485,"array([-2.57592734, -7.48195753])"
486,"array([ -1.21961523, -13.58732273])"
487,"array([ -3.97810531, -15.71725263])"
488,"array([  2.75473925, -12.62507202])"
489,"array([ 9.08251908, -7.38008961])"
490,"array([ 7.67192777, -7.38523981])"
491,"array([ 6.12888957, -6.90169884])"
492,"array([ 8.11650745, -7.37458671])"
493,"array([ 9.05451621, -6.71760643])"
494,"array([ 7.3631808 , -6.67526707])"
495,"array([11.97428241, -4.31706775])"
496,"array([ 8.96222381, -4.86698451])"
497,"array([  9.9695674 , -10.42612188])"
498,"array([12.25191493, -4.80772103])"
499,"array([11.2812522 , -5.22437387])"
500,"array([ 9.88613665, -5.41606476])"
501,"array([-29.99781146,  -8.83531264])"
502,"array([-30.80545414,  -9.29409781])"
503,"array([-29.99462935,  -9.77179149])"
504,"array([11.87052821,  2.8318592 ])"
505,"array([11.84108405,  1.72167017])"
506,"array([11.09466141,  2.42874134])"
507,"array([10.00696932,  1.81793713])"
508,"array([11.94631622,  2.31852169])"
509,"array([11.81035402,  0.4766576 ])"
510,"array([10.42608153,  1.84456333])"
511,"array([11.29829288,  2.10326789])"
512,"array([10.7812923 ,  2.63647367])"
513,"array([10.37442093,  2.39577704])"
514,"array([-20.30933788,   0.94806866])"
515,"array([-20.11696287,   1.60953637])"
516,"array([-20.87563447,   1.34886769])"
517,"array([-20.12639762,   0.29722657])"
518,"array([-19.64072418,   0.9473371 ])"
519,"array([-20.87876302,   0.56048176])"
520,"array([27.39187169, 11.5981929 ])"
521,"array([27.76923634, 10.73574076])"
522,"array([13.51485548,  0.63656684])"
523,"array([ -6.5986886 , -18.76697097])"
524,"array([ -5.939024  , -16.60610041])"
525,"array([ -6.76530699, -20.37296779])"
526,"array([  9.97028799, -10.9888607 ])"
527,"array([11.36409956, -9.37547473])"
528,"array([ 10.02653718, -11.76426797])"
529,"array([ 17.08508432, -26.01572   ])"
530,"array([ 17.33179695, -25.65968331])"
531,"array([ 16.21988093, -25.44094213])"
532,"array([ 17.38592337, -25.19549897])"
533,"array([ 17.76290802, -25.75345629])"
534,"array([ 16.99859037, -25.31131532])"
535,"array([ 16.63430888, -25.13320579])"
536,"array([ 17.15014696, -26.86613547])"
537,"array([ 16.93548067, -25.68117774])"
538,"array([ 17.1425683 , -26.38714945])"
539,"array([ 16.7345897 , -26.54597503])"
540,"array([ 17.89832817, -25.26091225])"
541,"array([ 15.8677032 , -24.23829352])"
542,"array([ 16.56661985, -25.64256543])"
543,"array([ 16.52386719, -27.27546019])"
544,"array([ 18.35938599, -25.83303908])"
545,"array([ 16.29988852, -26.40954653])"
546,"array([ 18.03347472, -26.19224998])"
547,"array([ 17.51596906, -26.03899595])"
